Year,AT,BE,BG,CY,CZ,DE,DK,EE,ES,FI,FR,GR,HR,HU,IE,IS,IT,LT,LU,LV,MT,NL,NO,PL,PT,RO,SE,SI,SK,TR,GB
1990,282.2658920529928,395.4663171109081,888.8680189586623,903.0622977189081,1024.1198683029977,793.4521920707576,946.262699255922,1408.2721829263312,475.14083409215755,317.8952729189647,216.72532777741978,1259.3238236492455,469.22661244567365,625.5888131521804,811.5914052045738,3.252302626503816,595.0582159132819,289.8292980130697,425.47819463689996,393.85999953907697,1700.6016813556307,697.3545288858758,2.085029922178407,1964.5494704105388,555.1188376609615,1165.26228198471,35.07398321912161,565.7967872235203,652.5609581304186,701.4639700839708,720.0269482521342
1991,298.63388979918295,403.09556657276175,852.734801773291,890.1736117316141,1027.3943476637876,795.2658120199329,924.2748372682539,1501.480767941821,469.86859586080055,289.1425580244772,182.0603966886064,1198.633710988047,326.7507734042936,631.8098030525749,810.7453840978644,3.642622426940939,567.3072180774924,298.1794272407981,456.44851160556374,445.9637744245788,1198.7516274192774,679.4199009028764,2.473104341608828,1914.2702216939658,561.9792301769711,1148.858471846237,45.14805381763949,456.0424724541469,577.798575685461,698.6082172547405,705.8246992433357
1992,236.78037409278545,385.5104325026994,975.9937765074648,889.3997591105912,1027.149603766986,761.8024943200206,936.7565297536522,1485.891187261951,513.525444625253,287.7469643229291,183.5482847953487,1221.7330653984213,437.66958782927793,646.1675285033075,811.4757286061582,3.235804665146426,556.1273743006623,230.62394951874936,521.2010438091094,527.6765614633094,1096.7966878380287,669.2049587033242,2.475879745524296,1877.5852529546596,663.0289843260083,1244.5086237578685,51.734312491864,526.195582784365,525.6692820344228,700.0030352624746,674.399521078464
1993,220.3154358760107,395.67485238413275,925.0322408176675,889.3269000372605,1037.2984347445622,753.5373176548758,905.7775932009168,1519.9377208391397,483.9430350639934,322.1770956319989,169.44630611405157,1185.3612889267015,458.7021925327046,635.873890509723,794.3240991347899,2.576128873871261,548.3276372825947,233.56487527870863,570.5048150726075,424.2569896395084,1490.5772248095036,686.6692548657329,2.645643147550132,1701.5598322396065,581.2297329497248,1151.7757426108471,54.50921304362029,518.0081317215353,374.2338886702792,648.0942446898503,610.0194153078279
1994,239.66708167214438,402.75260718010855,850.5046673565718,894.8752063903884,1030.8324733885079,745.0415206650622,868.8132479687846,1553.5989366589752,475.56059249453926,380.6050859835964,155.4118356999529,1166.3996115759276,337.88374277362954,624.7644842924334,782.4101833122797,2.4996442786682747,542.2031550438836,342.96766294494097,432.68111366439933,414.1083529709509,1248.8634644776137,726.0563765179769,3.591332743177036,1634.9642450057722,541.3831615244446,1034.514595257339,59.51416083862423,470.85821500919593,318.04211916279246,698.2668609173385,580.2930063262189
1995,251.2107331448629,387.0295660373787,798.4794880975157,884.3864651823336,1050.9337691145947,709.4636910138853,864.5234467732907,1553.0810428579907,524.2225453084753,355.6386289465509,148.47877863282892,1103.9808357442291,374.438937060994,625.5061668791868,790.6148217264648,2.717089790622143,573.156121115228,214.95180573583292,990.3127284610903,457.72385046938234,1036.7041404840277,712.4436289575996,3.603992825218387,1278.7317027355634,612.2745225135658,964.983895368583,55.635385304829896,481.68427467453694,300.382793311186,653.0220159782529,562.5797296299479
1996,274.5305063572581,358.19832798247455,775.50862283299,895.7335585674022,1058.096585580379,693.1055045520777,844.4245340101677,1507.7849659053243,409.88564843005236,414.82964928241483,149.20291003510272,1050.2276290166878,276.3664051770711,615.7965879057473,775.975670764557,1.3116710264493858,551.6403097076179,218.60963202594633,965.6876974055398,603.8139340123618,1056.703682109792,691.9593507174445,4.009566778440187,1255.343236051178,468.7196544911183,940.573446900971,87.11544083859671,443.0088713363382,314.7961875685119,641.0707771259574,548.5360492490365
1997,263.0684233410141,328.5526553600578,705.1281748121555,905.279251804283,1004.3893189134636,671.6362312446605,811.6785966198995,1433.805899840165,451.6908648322094,389.5530908908518,145.88988223091212,1111.8720819121313,393.0930337913746,637.6400294395072,781.0012399871064,0.9316798111481378,542.1662233488078,194.94877851044563,512.1678328688108,426.37636375073,1016.8501027299855,700.2838880826685,3.5189744656712665,1234.9289499191125,502.6010467701727,826.8079993807003,50.431846568821136,455.38089260737604,321.00712551952125,660.2470100087388,515.7792290215413
1998,237.03943201735757,346.7678309832437,714.1539157674449,907.172913912435,962.0258821732774,673.4529821772732,790.2444302268036,1407.8823976300914,448.7355520577544,337.1889740948125,170.53839538414886,1099.0480211376023,417.50046059906396,651.147987603115,757.0081111781981,0.3545729874940032,542.3366834022283,227.65487051542195,359.70720943259596,303.1739175359577,1011.4893658919115,696.4165697409662,3.2713522000423665,1199.6909398533944,511.2206670961193,714.5753265123963,56.509030481808175,474.89989261112635,305.8471206110047,692.575583279124,513.1458277395342
1999,226.19593036753687,296.01469188964256,655.5750375779203,921.7399281938053,896.4168730017369,649.2002706933517,751.9588772390068,1385.534277158675,528.9570386780241,324.064156661105,122.12063273671907,1040.0829698134157,374.7889975241961,636.385222857336,760.5924167752785,0.16349370009678216,523.6783182016919,241.35605739975543,484.1660343551916,403.12907029234646,980.8746428944659,665.8916250809657,2.92475497851526,1186.562569771812,618.3648512527495,673.1150474563002,47.02219412098069,424.25056965703607,284.52406711495644,715.1929992475226,482.34280294326834
2000,206.79589221197497,312.38996317872386,608.9865066931193,899.7564596064234,876.6620327018105,643.3088151701919,721.8346614463545,1337.5790887223675,493.4988368179757,287.46258113529336,129.6534825963075,1035.7791281372654,372.7095288741664,627.3774029673564,713.4136466825961,0.9247388676026665,419.4709971054609,225.00328957633897,117.81239199839865,347.8116206276755,889.1585850583652,662.9440560476968,2.907141165390395,1160.5119952110506,523.4475911360129,707.0127969713552,39.60992252220164,432.66000014346554,279.4518710968044,746.4373291070208,508.34980770250485
2001,225.8875277083642,299.519599850923,657.862048826343,833.7369685371796,885.8490211912097,658.4266941973772,723.3346418045008,1310.9027377333841,439.8860336388392,346.2577880786526,115.09277526444802,1045.3369400848305,383.95186262241145,609.3753382889392,734.2871773519614,0.8294667429023597,406.5008840347339,189.22597811334745,195.78017498377838,360.2619928392154,1064.2778601731288,670.5097837434766,4.161745187471897,1160.0905702827558,501.488380433426,734.7024785635349,42.64970882699628,460.32304699243736,319.20931361085894,785.1619620877397,528.2954901329869
2002,215.57414074818712,306.21126623548935,614.1453240661928,812.6427470828206,848.0922309695278,651.250151984655,704.4289711681986,1257.5598037438212,494.67369724705884,376.62963891292816,120.02262111630652,1015.490545853059,441.50576309118065,576.842644747521,687.099261593615,0.8582957833653095,430.54804662407497,150.78781827729804,310.2119062291301,391.73624637114193,1014.4540247133617,665.336859742624,3.5438942686219135,1155.0184952227648,587.4814049599617,672.9457762758692,54.659039714309785,465.83719517848715,287.6405491447383,717.9094015549044,518.4378293390293
2003,272.97961896978984,306.3129356860161,678.2724565105945,820.0299271684113,772.5029388713957,629.9499603063064,707.2975262619989,1233.0547402992129,435.28868711374633,428.06461860367386,125.14365113600654,973.1023109928656,475.2159811395371,645.4233399289377,652.8952307210272,0.6645870885398905,469.66122202841126,139.887625225771,320.10236362880147,393.23778681453877,1027.4554180304767,670.9331754224855,5.0540303933832975,1174.6930675459516,483.827518331773,727.1977436337279,69.96180271933542,466.84997447683287,315.30356759202687,659.9061547847466,530.6845707859919
