date,power,name
2023-01-01,8330.635416666666,BE
2023-01-02,9918.520833333334,BE
2023-01-03,10352.572916666666,BE
2023-01-04,10825.21875,BE
2023-01-05,10826.447916666666,BE
2023-01-06,10169.34375,BE
2023-01-07,9620.270833333334,BE
2023-01-08,11385.0,BE
2023-01-09,11567.260416666666,BE
2023-01-10,11497.979166666666,BE
2023-01-11,11709.802083333334,BE
2023-01-12,11519.208333333334,BE
2023-01-13,10473.354166666666,BE
2023-01-14,9917.09375,BE
2023-01-15,11212.104166666666,BE
2023-01-16,11251.291666666666,BE
2023-01-17,11484.208333333334,BE
2023-01-18,11339.958333333334,BE
2023-01-19,11187.25,BE
2023-01-20,10609.885416666666,BE
2023-01-21,10117.666666666666,BE
2023-01-22,11206.333333333334,BE
2023-01-23,11095.447916666666,BE
2023-01-24,10873.125,BE
2023-01-25,11159.4375,BE
2023-01-26,11231.208333333334,BE
2023-01-27,10064.510416666666,BE
2023-01-28,9522.34375,BE
2023-01-29,10897.5,BE
2023-01-30,11194.71875,BE
2023-01-31,11154.447916666666,BE
2023-02-01,11255.34375,BE
2023-02-02,11539.083333333334,BE
2023-02-03,10685.135416666666,BE
2023-02-04,10243.041666666666,BE
2023-02-05,11475.239583333334,BE
2023-02-06,11884.854166666666,BE
2023-02-07,11975.479166666666,BE
2023-02-08,11874.96875,BE
2023-02-09,11925.083333333334,BE
2023-02-10,10537.979166666666,BE
2023-02-11,9870.03125,BE
2023-02-12,11404.447916666666,BE
2023-02-13,11441.8125,BE
2023-02-14,11502.177083333334,BE
2023-02-15,11495.364583333334,BE
2023-02-16,11279.5625,BE
2023-02-17,10338.677083333334,BE
2023-02-18,9915.510416666666,BE
2023-02-19,11442.90625,BE
2023-02-20,11604.239583333334,BE
2023-02-21,11502.84375,BE
2023-02-22,11414.958333333334,BE
2023-02-23,11399.15625,BE
2023-02-24,10399.520833333334,BE
2023-02-25,10057.9375,BE
2023-02-26,11778.78125,BE
2023-02-27,11911.947916666666,BE
2023-02-28,11982.885416666666,BE
2023-03-01,12017.572916666666,BE
2023-03-02,12178.645833333334,BE
2023-03-03,10876.416666666666,BE
2023-03-04,9968.53125,BE
2023-03-05,11026.635416666666,BE
2023-03-06,11186.291666666666,BE
2023-03-07,11324.322916666666,BE
2023-03-08,11133.572916666666,BE
2023-03-09,11103.729166666666,BE
2023-03-10,9614.041666666666,BE
2023-03-11,9108.697916666666,BE
2023-03-12,10344.604166666666,BE
2023-03-13,10925.427083333334,BE
2023-03-14,10725.6875,BE
2023-03-15,10844.28125,BE
2023-03-16,10683.260416666666,BE
2023-03-17,10178.4375,BE
2023-03-18,9821.614583333334,BE
